교과목명,학점,강의실,담당교원
"모바일컴퓨팅	3	""401-5145(신공학관(기숙사) 5145 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	문봉교",,
"컴퓨터그래픽스입문	3	""401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	홍정모",,
"S/W품질관리및테스팅	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	최은만",,
"컴퓨터공학종합설계1	3	""401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))""	정진우",,
"컴퓨터공학종합설계1	3	""401-6144(신공학관(기숙사) 6144 강의실)","401-5145(신공학관(기숙사) 5145 강의실)""	이용규",,
"컴퓨터공학종합설계1	3	""401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)""	손윤식",,
"컴퓨터공학종합설계1	3	""401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)","401-10144(신공학관(기숙사) 10144 컴퓨터공학과 세미나실2)""	신연순",,
"컴퓨터공학종합설계2	3	""401-4142(신공학관(기숙사) 4142 신공학관 강당)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	김동호",,
"인간컴퓨터상호작용시스템	3	""401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))""	정진우",,
"공개SW프로젝트	3	""401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)","401-6144(신공학관(기숙사) 6144 강의실)""	김동호",,
"공개SW프로젝트	3	""401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)""	손윤식",,
"현장실습4	12		손윤식",,,
"공업교육론	3	401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)	장은실",,,
"컴퓨터교육론	3	401-6144(신공학관(기숙사) 6144 강의실)	김가영",,,
"컴퓨터활용과실습	2	408-221(정보문화관Q Q201 (Q) 공용컴퓨터실)	이호정",,,
"컴퓨터알고리즘의이해	1		정진우",,,
